clob_token_ids                                                                                                                                                           , cosine_similarity
"[""111128191581505463501777127559667396812474366956707382672202929745167742497287"",""99807503632459517030616292055983105381849115736225256331133222076990620978808""]" , 1.0
"[""108547978327958467449318042977006580876058560639743186491243488736783119648127"",""61476326573463890939120700176570456436619008823217970387484180237661307640203""]" , 1.0
"[""110251828161543119357013227499774714771527179764174739487025581227481937033858"",""65176388692130651396848427090788038285140833850265294793449655516920659740141""]" , 1.0
"[""86130975769502911188457673769190265049139877688522439001984850068234616395137"",""115669573443672055876643967408433138119481486650803218131873713375232186497057""]" , 0.5393608293280271
"[""65570440056117077542463878494177612662140785434913628124381440406242436241630"",""93382483372490196259599806079407160203979679994486135406898952073842583559283""]"  , 0.7618132404966803
"[""93236282658111979159320180999275225033025321083005329766677547768290977760323"",""68097095084852059927226934384844733445711105748012199994123009335342819241242""]"  , 1.0
"[""52050746234342662722944164611770366361356411537116700536699714495312321351266"",""93804609061983629641017043829248235412871993191956251645740188176426412187758""]"  , 1.0
"[""90516619390494457851160289611234777024586620796413226659482210307129605212267"",""100345857693591115399427939282121160012030005246328577225136154263018762062700""]" , 1.0
"[""64636956979664924281112632890582512477072568746251062499472746167647547057659"",""27343743414957087792132755489717809036735234147028320549451531367515679132047""]"  , 1.0
"[""82061785917705076236548898020239512245804081718353415437404593579600471547046"",""44750597693157889124810332391317675284208209352899152696585601895225121206107""]"  , 1.0
"[""53878687881372296840643404422879609046161113624304869713031188462369519751462"",""7781128617775379429370059157264862153354283943832661953096847794102113820322""]"   , 0.7944489645898892
"[""11862165566757345985240476164489718219056735011698825377388402888080786399275"",""71478852790279095447182996049071040792010759617668969799049179229104800573786""]"  , 1.0
"[""92703761682322480664976766247614127878023988651992837287050266308961660624165"",""48193521645113703700467246669338225849301704920590102230072263970163239985027""]"  , 1.0
"[""112838095111461683880944516726938163688341306245473734071798778736646352193304"",""7321318078891059430231591636389479745928915782241484131001985601124919020061""]"  , 1.0
"[""16419649354067298412736919830777830730026677464626899811394461690794060330642"",""42139849929574046088630785796780813725435914859433767469767950066058132350666""]"  , 1.0
"[""100379208559626151022751801118534484742123694725746262280150222742563282755057"",""113732820231608904682346496304917888352004831436510840986547065248348999143469""]", 0.572516870115373
"[""12403602920039269077597917340921667997547115084613238528792639013246536343316"",""21294592205022969346730955103773391901993330222644504059576935265667917187903""]"  , 1.0
"[""113379839734351069617987084078322474966003108854908079701423911002443710490196"",""48058805012599375970268777474956242772204241523361869981040579395242001094965""]" , 1.0
"[""72535544017897924722695722172278828562733090748474862987195303914909938482758"",""81407142104509110921187520775072626840789848613047331773172953370174825669358""]"  , 1.0
"[""95835705062472305459663741402900736177330733688944910993896545106260819635212"",""52125994957619926233854688437715340370114575617673092175221127058976458963420""]"  , 1.0
"[""73197441127256680134600821323583356037261213281680365433623681075249556019477"",""71677612305244936641085500097737038199081845621961106192204236262687669821119""]"  , 1.0
"[""29213252446661789250484965446100709214117256176608501943249094649759520097655"",""39766939694460004925290266709531635660902081793543974711598767930913394552857""]"  , 1.0
"[""77531340423610587330488971960018210147778793548713753738604838920212617696839"",""82580329456069960430455853606847264180718690130912450048527873419398759263654""]"  , 1.0
"[""83225062900867600837789591190756506957715645312465902979999093167287051133800"",""70694980832312500201330660753738089732275716848386256819010620597664479406765""]"  , 1.0
"[""79224949855948800840589557145654317659028242814072850811675646040486360279565"",""87675042073148826481646804686739465454480607542088274413944712124354466628470""]"  , 1.0
"[""23126031577449775652876745717301519312850542565907124407036782701549610893044"",""104942649192609913825700442400757579142602100704286281267464239496183536823685""]" , 1.0
"[""101699865858660601590309838387762714166224752219273014726406345404403204943713"",""66183284712764802657795502795552404612971669672765842666767416251669427449952""]" , 1.0
"[""56345349743779788266710915561914531858285418844567819631705863717318287635981"",""26533811683673020016156821068743960771270276222852607342597705457170159668542""]"  , 1.0
"[""9348234470735473071085620208817441102005165766524508452759679947551704787649"",""27203305404978223030553317971682713734658336588968050686197281149875057661426""]"   , 1.0
"[""113401754986342384261044700457165882158632153698445535217371023842472815025478"",""81906419701908530974011339985097627770048267181648886108185004759027261509242""]" , 1.0
"[""16018186278713893766129270377649855044679233002578361062022208432086696077104"",""48827723684529991552849237252156781311984893775886188249280006578488168779709""]"  , 1.0
"[""95417221270011105499568468828531867453865533932484364685389046548264041887861"",""101322769768415942646735830228475566436146317671120615766292718518675772773223""]" , 1.0
"[""37902884120561856159354666911594986421517777792635262864250023116967352650864"",""109393977968431223916658147422584374037783147556547837142618929515488700202429""]" , 1.0
"[""114266735877811876021362945683127542532778925409590599016489267644246881997088"",""29784683767660217718284600015167187155042303966390545299343573403150180359874""]" , 1.0
"[""97342279120678273630607683054795863275129877804426302350940891369401329581143"",""31322939969386218062893936997086058166263963345358385554657299529044067614241""]"  , 1.0
"[""29302012528838680690187789761162568894047228199221874292227996792731980008913"",""60392034336577338231742284512109234079906014441771834628360951615171328173979""]"  , 1.0
"[""75908323727298328867730975191408371392791673519909633571828290560271497154002"",""79789232395720638858274738847227972167237508904058868259908731026531836677826""]"  , 1.0
"[""81824425179562289518471606291145339157763825006180751370015706533159099123075"",""11713179905711979530482617184949599169552906679471161462716508217175932604073""]"  , 1.0
